Word,alternate-spellings,transliteration,Gloss,Strongs,frequency
"ἀρχιερεύς, -έως, ὁ",,archiereus,"chief priest, high priest",749,122
"ἀρχιποίμην, -ενος, ὁ",,archipoimēn,chief shepherd,750,1
"Ἄρχιππος, -ου, ὁ",,Archippos,Archippus,751,2
"ἀρχισυνάγωγος, -ου, ὁ",,archisunagōgos,"ruler of a synagogue, leader of the synagogue",752,9
"ἀρχιτέκτων, -ονος, ὁ",,architektōn,master builder,753,1
"ἀρχιτελώνης, -ου, ὁ",,architelōnēs,"chief tax collector, head of a custom-house",754,1
"ἀρχιτρίκλινος, -ου, ὁ",,architriklinos,"headwaiter, butler, master of the feast",755,3
ἄρχομαι,,archomai,begin,756,84
ἄρχω,,archō,"rule, reign, begin",757,2
"ἄρχων, -οντος, ὁ",,archōn,"ruler, prince, leader",758,37
"ἄρωμα, -τος, τό",,arōma,"spice, perfume",759,4
"Ἀσά, ὁ",Ἀσάφ,Asa,Asa,760,2
"ἀσάλευτος, -ον",,asaleutos,"immovable, unshakable, unshaken",761,2
"ἄσβεστος, -ον",,asbestos,"unquenchable, inextinguishable",762,4
"ἀσέβεια, -ας, ἡ",,asebeia,"ungodliness, impiety, irreverence, wickedness",763,6
ἀσεβέω,,asebeō,"act impiously, in an ungodly way, am impious, irreverent, do impiously",764,2
ἀσεβής,,asebēs,"ungodly, impious, wicked",765,9
"ἀσέλγεια, -ας, ἡ",,aselgeia,"licentiousness, debauchery, sensuality, wantonness, lewdness",766,10
"ἄσημος, -ον",,asēmos,"insignificant, undistinguished, obscure",767,1
"Ἀσήρ, ὁ",,Asēr,Asher,768,2
"ἀσθένεια, -ας, ἡ",,astheneia,"weakness, sickness, disease",769,24
ἀσθενέω,,astheneō,"be weak, sick, am weak",770,36
"ἀσθένημα, -τος, τό",,asthenēma,"weakness, infirmity",771,1
ἀσθενής,,asthenēs,"weak, infirm, sick",772,25
"Ἀσία, -ας, ἡ",,Asia,"Asia, roughly the western third of Asia Minor",773,18
"Ἀσιανός, -οῦ, ὁ",,Asianos,"Asian, belonging to the Roman province Asia",774,1
"Ἀσιάρχης, -ου, ὁ",,Asiarchēs,Asiarch,775,1
"ἀσιτία, -ας, ἡ",,asitia,"lack of appetite, abstinence, fast",776,1
"ἄσιτος, -ον",,asitos,"without eating, fasting",777,1
ἀσκέω,,askeō,"practice, engage in, train, exercise",778,1
"ἄσκησις, -εως, ἡ",,askēsis,"exercise, practice, training",,
"ἀσκός, -οῦ, ὁ",,askos,"leather bottle, wineskin, leather bag",779,12
ἀσμένως,,asmenōs,"gladly, joyfully, with delight",780,1
"ἄσοφος, -ον",,asophos,"unwise, foolish, unskilled",781,1
ἀσπάζομαι,,aspazomai,"greet, salute, pay my respects to",782,60
"ἀσπασμός, -οῦ, ὁ",,aspasmos,"greeting, salutation",783,10
"ἄσπιλος, -ον",,aspilos,"spotless, unstained, undefiled",784,4
"ἀσπίς, -ίδος, ἡ",,aspis,asp,785,1
"ἄσπονδος, -ον",,aspondos,"irreconcilable, implacable",786,2
"ἀσσάριον, -ου, τό",,assarion,"assarion, small coin worth one tenth of a drachma, small coin",787,2
"Ασσαρών, -οῦ, ὁ",,Assarōn,"Sharon, Saron",4565,1
ἆσσον,,asson,"nearer, close by",788,3
"Ἆσσος, -ου, ἡ",,Assos,Assos,789,2
ἀστατέω,,astateō,"be unsettled, be homeless, am unsettled, have no fixed abode",790,1
"ἀστεῖος, -α, -ον",,asteios,"handsome, well-bred, elegant, pretty, fair, fine, beautiful",791,2
"ἀστήρ, -ος, ὁ",,astēr,star,792,24
"ἀστήρικτος, -ον",,astēriktos,"unstable, weak, unsteady",793,2
"ἄστοργος, -ον",,astorgos,"without natural affection, unfeeling, unloving, devoid of affection",794,2
ἀστοχέω,,astocheō,"miss the mark, go astray, miss my aim, make a false aim",795,3
"ἀστραπή, -ῆς, ἡ",,astrapē,"lightning, brightness, flash of lightning, luster",796,9
ἀστράπτω,,astraptō,"flash, gleam, am lustrous",797,2
"ἄστρον, -ου, τό",,astron,star,798,4
"Ἀσύγκριτος, -ου, ὁ",,Asugkritos,Asyncritus,799,1
"ἀσύμφωνος, -ον",,asumphōnos,"discordant, in disagreement, dissonant",800,1
"ἀσύνετος, -ον",,asunetos,"without understanding, unintelligent, unwise, undiscerning",801,5
"ἀσύνθετος, -ον",,asunthetos,"faithless, untrustworthy, untrue to an agreement, treacherous",802,1
"ἀσφάλεια, -ας, ἡ",,asphaleia,"certainty, security, safety, truth, reliability",803,3
ἀσφαλής,,asphalēs,"certain, definite, sure, safe, reliable, trustworthy",804,5
ἀσφαλίζω,,asphalizō,"make secure, fasten, make safe",805,4
ἀσφαλῶς,,asphalōs,"safely, securely, certainly, assuredly",806,3
ἀσχημονέω,,aschēmoneō,"act unbecomingly, disgracefully, act improperly, unseemly",807,2
"ἀσχημοσύνη, -ης, ἡ",,aschēmosunē,"disgraceful deed, unseemliness, shame, nakedness",808,2
ἀσχήμων,,aschēmōn,"unseemly, indecent",809,1
"ἀσωτία, -ας, ἡ",,asōtia,"dissipation, debauchery, profligacy, wantonness",810,3
ἀσώτως,,asōtōs,"wastefully, recklessly, prodigally, with prodigal living",811,1
ἀτακτέω,,atakteō,"behave inappropriately, behave disorderly",812,1
"ἄτακτος, -ον",,ataktos,"disorderly, unruly, slack",813,1
ἀτάκτως,,ataktōs,"disorderly, unruly, in a disorderly manner",814,2
"ἄτεκνος, -ον",,ateknos,childless,815,3
ἀτενίζω,,atenizō,"gaze, stare, direct my gaze, look steadily",816,14
ἄτερ,,ater,"without, apart from",817,2
ἀτιμάζω,,atimazō,"dishonor, disgrace",818,6
"ἀτιμία, -ας, ἡ",,atimia,"dishonor, disgrace",819,7
"ἄτιμος, -ον",,atimos,"without honor, dishonored, despised",820,4
ἀτιμόω,,atimoō,"dishonor, treat shamefully",821,1
"ἀτμίς, -ίδος, ἡ",,atmis,"vapor, breath, steam",822,2
"ἄτομος, -ον",,atomos,"indivisible moment of time, moment",823,1
"ἄτοπος, -ον",,atopos,"out of place, unusual, wrong, improper, unrighteous, perverse",824,3
"Ἀττάλεια, -ας, ἡ",,Attaleia,Attalia,825,1
αὐγάζω,,augazō,"see, shine forth",826,1
"αὐγή, -ῆς, ἡ",,augē,"dawn, light of day",827,1
"Αὐγοῦστος, -ου, ὁ","Αὐγούστος, Αὔγουστος",Augoustos,Augustus,828,1
αὐθάδης,,authadēs,"self-willed, stubborn, arrogant, self-satisfied",829,2
"αὐθαίρετος, -ον",,authairetos,of one's own accord,830,2
αὐθεντέω,,authenteō,"govern, exercise authority, domineer over",831,1
αὖθις,,authis,"again, afresh, moreover",,
αὐλέω,,auleō,"play a flute, play the flute, pipe",832,3
"αὐλή, -ῆς, ἡ",,aulē,"enclosed open space, courtyard, enclosed dwelling complex, palace",833,12
"αὐλητής, -οῦ, ὁ",,aulētēs,"flute player, pipe player",834,2
αὐλίζομαι,,aulizomai,"spend the night, lodge, pass the night",835,2
"αὔλιον, -ον, τό",,aulion,"animal pen, sheep pen",,
"αὐλός, -οῦ, ὁ",,aulos,"flute, pipe",836,1
αὐξάνω,,auxanō,"cause to grow, increase, cause to increase, become greater, grow",837,23
"αὔξησις, -εως, ἡ",,auxēsis,"growth, increase, increasing",838,2
αὔριον,,aurion,tomorrow,839,15
"αὐστηρός, -ά, -όν",,austēros,"strict, exacting, grim, severe",840,2
"αὐτάρκεια, -ας, ἡ",,autarkeia,"sufficiency, contentment, self-sufficiency, independence",841,2
αὐτάρκης,,autarkēs,"content, self-sufficient, satisfied, contented",842,1
"αὐτοκατάκριτος, -ον",,autokatakritos,self-condemned,843,1
"αὐτοκράτωρ, -ος, ὁ",,autokratōr,"absolute ruler, autocrat, emperor",,
"αὐτόματος, -η, -ον",,automatos,"by itself, of its own accord",844,2
"αὐτόπτης, -ου, ὁ",,autoptēs,eyewitness,845,1
αὐτός,,autos,"he, she, it, himself, herself, itself, they, them, same",846,5756
αὐτοῦ,,autou,"there, here",847,4
"αὐτουργός, -ου, ὁ",,autourgos,farmer,,
"αὐτόφωρος, -ον",,autophōros,"caught in the act, in the very act",1888,1
αὐτόχειρ,,autocheir,with one's own hand,849,1
αὐχέω,,aucheō,boast,,1
"αὐχμηρός, -α, -ον",,auchmēros,"dark, gloomy, dingy, dusky, obscure, funereal",850,1
ἀφαιρέω,,aphaireō,"take away, smite off",851,10
ἀφανής,,aphanēs,"invisible, hidden",852,1
ἀφανίζω,,aphanizō,"destroy, cause to disappear, hide, remove, disfigure",853,5
"ἀφανισμός, -οῦ, ὁ",,aphanismos,"vanishing, disappearing, disappearance",854,1
"ἄφαντος, -ον",,aphantos,"invisible, disappearing, hidden",855,1
"ἀφεδρών, -ῶνος, ὁ",,aphedrōn,"toilet, latrine, drain",856,2
"ἀφειδία, -ας, ἡ",,apheidia,"unsparing treatment, severity",857,1
"ἀφελότης, -ητος, ἡ",,aphelotēs,"sincerity, simplicity, humility",858,1
"ἄφεσις, -εως, ἡ",,aphesis,"release, forgiveness, set free, pardon",859,17
"ἁφή, -ῆς, ἡ",,aphē,"joint, band, fastening, ligament",860,2
"ἀφθαρσία, -ας, ἡ",,aphtharsia,"incorruptibility, immortality, indestructibility",861,8
"ἄφθαρτος, -ον",,aphthartos,"imperishable, immortal, incorruptible",862,7
"ἀφθορία, -ας, ἡ",,aphthoria,"soundness, purity",,1
ἀφίημι,,aphiēmi,"send away, let go, permit, forgive, release",863,146
ἀφικνέομαι,,aphikneomai,"reach, arrive at",864,1
"ἀφιλάγαθος, -ον",,aphilagathos,"without love of good, not loving that which is good",865,1
"ἀφιλάργυρος, -ον",,aphilarguros,"free from the love of money, not money loving, not avaricious",866,2
"ἄφιξις, -εως, ἡ",,aphixis,"departure, arrival",867,1
ἀφίστημι,,aphistēmi,"withdraw, depart, fall away, lead away, seduce, abstain from",868,15
ἄφνω,,aphnō,suddenly,869,3
ἀφόβως,,aphobōs,fearlessly,870,4
ἀφομοιόω,,aphomoioō,"make like, assimilate, make like to",871,1
ἀφοράω,,aphoraō,"fix one's eyes, see, look away from",872,2
ἀφορίζω,,aphorizō,"separate, set apart, rail off, place apart",873,10
"ἀφορμή, -ῆς, ἡ",,aphormē,"occasion, opportunity",874,7
ἀφρίζω,,aphrizō,foam at the mouth,875,2
"Ἀφρική, -ής, ἡ",,Aphrikē,Africa,,
"ἀφρός, -οῦ, ὁ",,aphros,"foam, foaming, froth",876,1
"ἀφροσύνη, -ης, ἡ",,aphrosunē,"foolishness, want of sense",877,4
"ἄφρων, -ονος, -ον",,aphrōn,"foolish, senseless, inconsiderate",878,11
ἀφυπνόω,,aphupnoō,fall asleep,879,1
"ἄφωνος, -ον",,aphōnos,"speechless, mute, silent, soundless, voiceless, dumb",880,4
"Ἀχάζ, ὁ",,Achaz,Ahaz,881,2
"Ἀχαΐα, -ας, ἡ",,Achaia,Achaia,882,11
"Ἀχαϊκός, -οῦ, ὁ",,Achaikos,Achaicus,883,1
"ἀχάριστος, -ον",,acharistos,ungrateful,884,2
"Ἀχείμ, ὁ",Ἀχίμ,Acheim,Achim,885,2
"ἀχειροποίητος, -ον",,acheiropoiētos,"not made with hands, not made by hand, not handmade",886,3
"ἀχλύς, -ύος, ἡ",,achlus,"mist, mistiness, dimness",887,1
"ἀχρεῖος, -ον",,achreios,"useless, worthless, unworthy, unprofitable",888,2
ἀχρειόω,,achreioō,am good for nothing,889,1
"ἄχρηστος, -ον",,achrēstos,"useless, worthless, unprofitable",890,1
ἄχρι,,achri,"as far as, up to {+gen}, until (conjunction), up to",891,50
"ἄχυρον, -ου, τό",,achuron,chaff,892,2
ἀψευδής,,apseudēs,"unable to lie, truthful, trustworthy, not guilty of falsehood",893,1
"ἄψινθος, ὁ",,apsinthos,wormwood,894,2
"ἄψυχος, -ον",,apsuchos,"inanimate, lifeless",895,1
"Βάαλ, ὁ",,Baal,Baal,896,1
"Βαβυλών, -ῶνος, ἡ",,Babulōn,Babylon,897,12
βαδίζω,,badizō,"walks, goes",,
"βαθμός, -οῦ, ὁ",,bathmos,"step, grade, stage, position",898,1
"βάθος, -ους, τό",,bathos,"depth, deep",899,8
βαθύνω,,bathunō,"deepen, go down deep",900,1
"βαθύς, -εῖα, -ύ",,bathus,"deep, early, profound",901,4
βαίνω,,bainō,go,,
"βαΐον, -ου, τό",,baion,palm branch,902,1
"βακτηρία, -ας, ἡ",,baktēria,rod,,
"Βαλαάμ, ὁ",,Balaam,Balaam,903,3
"Βαλάκ, ὁ",,Balak,Balak,904,1
"βαλλάντιον, -ου, τό",βαλάντιον,ballantion,"purse, money bag",905,4
βάλλω,,ballō,"throw, put, cast, drop",906,125
βαπτίζω,,baptizō,"baptize, baptise, dip, submerge",907,80
"βάπτισμα, -τος, τό",,baptisma,"baptism, rite or ceremony of baptism",908,22
"βαπτισμός, -οῦ, ὁ",,baptismos,"washing, cleansing, baptism, dipping",909,4
"βαπτιστής, -οῦ, ὁ",,baptistēs,"baptist, baptizer, Baptist",910,14
βάπτω,,baptō,"dip, dye",911,4
"Βαραββᾶς, -ᾶ, ὁ",,Barabbas,Barabbas,912,11
"Βαράκ, ὁ",,Barak,Barak,913,1
"Βαραχίας, -ου, ὁ",,Barachias,Barachiah,914,1
"βάρβαρος, -ον",,barbaros,"barbarous, barbarian, foreigner who speaks neither Greek nor Latin",915,6
βαρέω,,bareō,"burden, weigh down, weight, load",916,7
βαρέως,,bareōs,"with difficulty, heavily",917,2
"Βαρθολομαῖος, -ου, ὁ",,Bartholomaios,Bartholomew,918,4
"Βαρϊησοῦς, -οῦ, ὁ",,Bariēsous,"Bar-Jesus, son of Jesus",919,1
"Βαριωνᾶ, ὁ",Βαριωνᾶς,Bariōna,"Bar-Jonas, Bar-jona",920,1
"Βαρναβᾶς, ὁ",Βαρνάβας,Barnabas,Barnabas,921,29
"βάρος, -ους, τό",,baros,"burden, weight",922,6
"Βαρσαββᾶς, -ᾶ, ὁ",,Barsabbas,Barsabbas,923,2
"Βαρτίμαιος, -ου, ὁ",Βαρτιμαῖος,Bartimaios,Bartimaeus,924,1
βαρύνω,,barunō,"oppress, overload, weigh down",925,
"βαρύς, -εῖα, -ύ",,barus,"heavy, burdensome, weighty",926,6
"βαρύτιμος, -ον",,barutimos,"very expensive, very precious, of great price",927,1
βασανίζω,,basanizō,"torment, torture, buffet",928,12
"βασανισμός, -οῦ, ὁ",,basanismos,"torment, torture",929,6
"βασανιστής, -οῦ, ὁ",,basanistēs,"jailer, torturer, one who tortures, tormentor, jailor",930,1
"βάσανος, -ου, ἡ",,basanos,"torture, torment, pain, examination by torture",931,3
"βασιλεία, -ας, ἡ",,basileia,"kingdom, royal rule, kingship, sovereignty",932,162
"βασίλειος, -ον",,basileios,"kingly, royal, courtiers, palaces, body of kings",934,3
"βασιλεύς, -έως, ὁ",,basileus,"king, ruler, emperor",935,116
βασιλεύω,,basileuō,"reign, rule, reign over",936,21
"βασιλικός, -ή, -όν",,basilikos,"royal, connected with a king, regal",937,5
"βασίλισσα, -ης, ἡ",,basilissa,queen,938,4
"βάσις, -εως, ἡ",,basis,foot,939,1
βασκαίνω,,baskainō,"bewitch, give the evil eye to, fascinate, overpower",940,1
βαστάζω,,bastazō,"bear, carry, carry away",941,27
"βάτος, -ου, ὁ",,batos,"bath (a liquid measure), thorn bush or bramble, liquid measure between eight and nine gallons","942, 943",6
"βάτραχος, -ου, ὁ",,batrachos,frog,944,1
βατταλογέω,,battalogeō,"use the same words again and again, stammer",,1
βαττολογέω,,battologeō,"chatter, utter empty words",945,1
"βδέλυγμα, -τος, τό",,bdelugma,"detestable thing, abomination, abominable thing, accursed thing",946,6
"βδελυκτός, -ή, -όν",,bdeluktos,"abhorrent, detestable, abominable",947,1
βδελύσσομαι,,bdelussomai,"detest, abhor",948,2
"βέβαιος, -α, -ον",,bebaios,"firm, secure, steadfast, enduring",949,9
βεβαιόω,,bebaioō,"confirm, secure, ratify",950,8
"βεβαίωσις, -εως, ἡ",,bebaiōsis,"confirmation, ratification, establishment",951,2
"βέβηλος, -ον",,bebēlos,"worldly, profane, secular, unspiritual, godless",952,5
βεβηλόω,,bebēloō,"profane, desecrate",953,2
"Βεελζεβούλ, ὁ",,Beelzeboul,"Beelzebul, a name for Satan, a Philistine deity",954,7
"Βελιάρ, ὁ",Βελίαρ,Beliar,Beliar,955,1
"βελόνη, -ης, ἡ",,belonē,needle,,1
"βέλος, -ους, τό",,belos,"arrow, missile, dart, javelin",956,1
βελτίων,,beltiōn,better,957,1
"Βενιαμίν, ὁ",,Beniamin,Benjamin,958,4
"Βερνίκη, -ης, ἡ",,Bernikē,Bernice,959,3
"Βέροια, -ας, ἡ",,Beroia,Berea,960,2
"Βεροιαῖος, -α, -ον",,Beroiaios,"Berean, native of Berea, belonging to Berea",961,1
"Βηθανία, -ας, ἡ",,Bēthania,Bethany,963,12
"Βηθεσδά, ἡ",,Bēthesda,Bethesda,964,1
"Βηθζαθά, ἡ",,Bēthzatha,Bethzatha,,1
"Βηθλέεμ, ἡ",Βηθλεέμ,Bēthleem,Bethlehem,965,8
"Βηθσαϊδά, ἡ",,Bēthsaida,Bethsaida,966,7
"Βηθφαγή, ἡ",,Bēthphagē,Bethphage,967,3
"βῆμα, -τος, τό",,bēma,"judgment seat, space covered by a step of the foot, tribunal",968,12
"βήρυλλος, -ου, ὁ",,bērullos,beryl,969,1
"βία, -ας, ἡ",,bia,"strength, force, violence",970,3
βιάζω,,biazō,"use force, violence, suffer violence",971,2
"βίαιος, -α, -ον",,biaios,"violent, forcible, strong",972,1
"βιαστής, -οῦ, ὁ",,biastēs,"violent man, forceful",973,1
"βιβλαρίδιον, -ου, τό",,biblaridion,little book,974,3
"βιβλιδάριον, -ου, τό",,biblidarion,little papyrus roll,974,2
"βιβλίον, -ου, τό",,biblion,"book, scroll, papyrus roll",975,36
"βίβλος, -ου, ἡ",,biblos,"book, scroll, volume",976,9
βιβρώσκω,,bibrōskō,"eat, consume",977,1
"Βιθυνία, -ας, ἡ",,Bithunia,Bithynia,978,2
"βίος, -ου, ὁ",,bios,"life, manner of life, livelihood",979,11
βιόω,,bioō,"live, pass my life",980,1
"βίωσις, -εως, ἡ",,biōsis,manner of life,981,1
"βιωτικός, -ή, -όν",,biōtikos,"matter of daily life, life, belonging to ordinary life",982,3
"βλαβερός, -ά, -όν",,blaberos,"harmful, injurious, hurtful",983,1
βλάπτω,,blaptō,"harm, injure, hurt",984,2
βλαστάνω,,blastanō,"sprout, produce, cause to sprout, make to grow up",985,4
"Βλάστος, -ου, ὁ",,Blastos,Blastus,986,1
βλασφημέω,,blasphēmeō,"revile, blaspheme, speak evil against",987,35
"βλασφημία, -ας, ἡ",,blasphēmia,"blasphemy, reproach, abusive or scurrilous language",988,19
"βλάσφημος, -ον",,blasphēmos,"blasphemous, slanderous",989,5
"βλέμμα, -τος, τό",,blemma,"look, what is seen, faculty of looking",990,1
βλέπω,,blepō,"see, look",991,132
"βλητέος, -α, -ον",,blēteos,"must be put, that ought to be put",992,1
"Βοανεργές, ",Βοανηργές,Boanerges,Boanerges,993,1
βοάω,,boaō,"cry aloud, shout, call aloud",994,11
"βοή, -ῆς, ἡ",,boē,"outcry, shout",995,1
"βοήθεια, -ας, ἡ",,boētheia,"help, assistance",996,2
βοηθέω,,boētheō,"come to the aid of, come to the rescue of",997,8
"βοηθός, -οῦ, ὁ",,boēthos,"helping, helper",998,1
"βόθυνος, -ου, ὁ",,bothunos,"pit, ditch",999,3
"βολή, -ῆς, ἡ",,bolē,"throw, casting",1000,1
βολίζω,,bolizō,"take soundings, cast the line for sounding, sound",1001,2
"Βοόζ, ὁ",Βόες,Booz,Boaz,1003,3
"βόρβορος, -ου, ὁ",,borboros,"mire, slime, mud, filth",1004,1
"βορρᾶς, -ᾶ, ὁ",,borras,"north, north wind, North",1005,2
βόσκω,,boskō,feed,1006,9
"Βοσόρ, ὁ",,Bosor,Bosor,1007,1
"βοτάνη, -ης, ἡ",,botanē,"herb, plant, vegetation, fodder, food",1008,1
"βότρυς, -υος, ὁ",,botrus,"bunch of grapes, cluster of grapes",1009,1
"βουλευτής, -οῦ, ὁ",,bouleutēs,"councilor, member of a city council, of the Sanhedrin",1010,2
βουλεύω,,bouleuō,"deliberate, take counsel",1011,6
"βουλή, -ῆς, ἡ",,boulē,"counsel, purpose, deliberate wisdom",1012,12
"βούλημα, -τος, τό",,boulēma,"purpose, will, intention, desire, counsel",1013,3
βούλομαι,,boulomai,"wish, will, intend, desire",1014,34
"βουνός, -οῦ, ὁ",,bounos,"hill, hillock",1015,2
"βοῦς, ὁ",,bous,"ox, bull, cow",1016,8
"βραβεῖον, -ου, τό",,brabeion,prize,1017,2
βραβεύω,,brabeuō,"be judge, rule, arbitrate",1018,1
βραδέως,,bradeōs,slowly,1104,
βραδύνω,,bradunō,"hesitate, be slow, delay, am slow",1019,2
βραδυπλοέω,,braduploeō,sail slowly,1020,1
"βραδύς, -εῖα, -ύ",,bradus,slow,1021,3
"βραδύτης, -ητος, ἡ",,bradutēs,"slowness, tardiness",1022,1
"βραχίων, -ονος, ὁ",,brachiōn,"arm, strength",1023,3
"βραχύς, -εια, -ύ",,brachus,"short, little",1024,7
"Βρεττανία, -ας, ἡ",,Brettania,"Great Britan, Britannia",,
"βρέφος, -ους, τό",,brephos,"unborn or a newborn child, baby, infant, babe",1025,8
βρέχω,,brechō,"send rain, rain, wet, moisten",1026,7
"βροντή, -ους, ἡ",,brontē,thunder,1027,12
"βροχή, -ης, ἡ",,brochē,"rain, heavy rain",1028,2
"βρόχος, -ου, ὁ",,brochos,"noose, noose or snare",1029,1
"βρυγμός, -οῦ, ὁ",,brugmos,"biting, gnashing of teeth, grinding or gnashing",1030,7
βρύχω,,bruchō,"gnash, grind or gnash",1031,1
βρύω,,bruō,"pour forth, cause to gush forth, send forth",1032,1
"βρῶμα, -τος, τό",,brōma,"food, food of any kind",1033,17
"βρώσιμος, -ον",,brōsimos,"eatable, suitable for food",1034,1
"βρῶσις, -εως, ἡ",,brōsis,"eating, food, rust, meal",1035,11
βυθίζω,,buthizō,"sink, plunge, cause to sink",1036,2
"βυθός, -οῦ, ὁ",,buthos,"sea, deep water, deep sea",1037,1
"βυρσεύς, -έως, ὁ",,burseus,tanner,1038,3
"βύσσινος, -η, -ον",,bussinos,"fine linen, of fine linen, cotton",1039,5
"βύσσος, -ου, ἡ",,bussos,"fine linen, cotton",1040,1
"βωμός, -οῦ, ὁ",,bōmos,altar,1041,1
"Γαββαθᾶ, ἡ",Γαββαθά,Gabbatha,Gabbatha,1042,1
"Γαβριήλ, ὁ",,Gabriēl,Gabriel,1043,2
"γάγγραινα, -ης, ἡ",,gaggraina,"gangrene, cancer, mortification",1044,1
"Γάδ, ὁ",,Gad,Gad,1045,1
"Γαδαρηνός, -ή, -όν",,Gadarēnos,"from Gadara, Gadarene, belonging to Gadara",1046,1
"γάζα, -ης, ἡ",,gaza,"treasure, Gaza","1047, 1048",2
"γαζοφυλάκιον, -ου, τό",,gazophulakion,treasury,1049,5
"Γάϊος, -ου, ὁ",,Gaios,Gaius,1050,5
"γάλα, -γαλακτος, τό",,gala,milk,1051,5
"Γαλάτης, -ου, ὁ",,Galatēs,Galatian,1052,1
"Γαλατία, -ας, ἡ",,Galatia,Galatia,1053,4
"Γαλατικός, -ή, -όν",,Galatikos,"Galatian, belonging to the province Galatia",1054,2
"γαλήνη, -ης, ἡ",,galēnē,calm,1055,3
"Γαλιλαία, -ας, ἡ",,Galilaia,Galilee,1056,63
"Γαλιλαῖος, -α, -ον",,Galilaios,Galilean,1057,11
"Γαλλία, -ας, ἡ",,Gallia,"Gaul, Gallia",,
"Γαλλίων, -ωνος, ὁ",,Galliōn,Gallio,1058,3
"Γαμαλιήλ, ὁ",,Gamaliēl,Gamaliel,1059,2
γαμέω,,gameō,marry,1060,29
γαμίζω,,gamizō,give in marriage,,7
γαμίσκω,,gamiskō,give in marriage,1061,1
"γάμος, -ου, ὁ",,gamos,"marriage, wedding, wedding feast",1062,16
γάρ,,gar,"for, because",1063,1063
"γαστήρ, -τρος, ἡ",,gastēr,"belly, womb, stomach, be pregnant",1064,9
γέ,,ge,"indeed, at least, really, even",1065,15
"Γεδεών, ὁ",,Gedeōn,Gideon,1066,1
"γέεννα, -ης, ἡ",,geenna,"gehenna, Gehenna",1067,12
"Γεθσημανῆ, ἡ",,Gethsēmanē,Gethsemane,1068,2
"Γεθσημανί, ",,Gethsēmani,Gethsemane,,2
"γείτων, -ονος, ὁ",,geitōn,neighbor,1069,4
γελάω,,gelaō,laugh,1070,2
"γέλως, -ωτος, ὁ",,gelōs,laughter,1071,1
γεμίζω,,gemizō,"fill, load",1072,9
γέμω,,gemō,"fill, am full of",1073,11
"γενεά, -ᾶς, ἡ",,genea,generation,1074,42
γενεαλογέω,,genealogeō,"trace descent or ancestry, put into a genealogy, reckon my descent",1075,1
"γενεαλογία, -ας, ἡ",,genealogia,genealogy,1076,2
"γενέσια, -ων, τό",,genesia,birthday celebration,1077,2
"γένεσις, -εως, ἡ",,genesis,"origin, birth, genealogy, lineage",1078,5
"γενετή, -ῆς, ἡ",,genetē,birth,1079,1
"γένημα, -τος, τό",,genēma,"fruit, produce, harvest",,
γεννάω,,gennaō,"give birth to, beget, bring forth",1080,96
"γέννημα, -τος, τό",,gennēma,"offspring, child, brood, fruit",1081,8
"Γεννησαρέτ, ἡ",,Gennēsaret,Gennesaret,1082,3
"γέννησις, -εως, ἡ",,gennēsis,"nativity, birth",1083,2
"γεννητός, -ή, -όν",,gennētos,"born, begotten",1084,2
"γένος, -ους, τό",,genos,"race, kind, offspring, family",1085,21
"γεραιός, -ά, -όν",,geraios,old,,
"Γερασηνός, -ή, -όν",,Gerasēnos,Gerasene,,3
"Γεργεσηνός, -ή, -όν",,Gergesēnos,from Gerasene,1086,1
"Γερμανία, -ας, ἡ",,Germania,Germay,,
"γερουσία, -ας, ἡ",,gerousia,"council of elders, body of elders",1087,1
"γέρων, -οντος, ὁ",,gerōn,old man,1088,1
γεύομαι,,geuomai,"taste, experience",1089,15
γεωργέω,,geōrgeō,"farm, cultivate, work the soil, cultivate the soil",1090,1
"γεώργιον, -ου, τό",,geōrgion,"cultivated land, field, tilled field",1091,1
"γεωργός, -οῦ, ὁ",,geōrgos,"farmer, worker of the soil, husbandman, vine-dresser",1092,19
"γῆ, -ης, ἡ",,gē,"earth, land, ground",1093,251
"γῆρας, -ρως, τό",,gēras,old age,1094,1
γηράσκω,,gēraskō,"grow old, become old",1095,2
γίνομαι,,ginomai,"become, be, come into being, am born",1096,676
γινώσκω,γιγνώσκω,ginōskō,"know, come to know, learn, realize",1097,222
"γλαυκός, -ή, -όν",,glaukos,"blue-green, olive green",,
"γλεῦκος, -ους, τό",,gleukos,"sweet new wine, sweet wine",1098,1
"γλυκύς, -εια, -ύ",,glukus,sweet,1099,4
"γλῶσσα, -ης, ἡ",,glōssa,"tongue, language, nation",1100,50
"γλωσσόκομον, -ου, τό",,glōssokomon,"money box, bag, purse, box, chest",1101,2
"γναφεύς, -έως, ὁ",,gnapheus,"one who cleans woolen cloth, launderer, fuller, cloth-dresser",1102,1
"γνήσιος, -α, -ον",,gnēsios,"genuine, true, legitimate, real",1103,4
γνησίως,,gnēsiōs,"sincerely, genuinely, truly, honorably",1104,1
"γνόφος, -ου, ὁ",,gnophos,"darkness, gloom",1105,1
"γνώμη, -ης, ἡ",,gnōmē,"purpose, opinion, consent, decision, counsel, judgment, intention",1106,9
γνωρίζω,,gnōrizō,"make known, declare, know",1107,24
"γνῶσις, -εως, ἡ",,gnōsis,"wisdom, knowledge, doctrine",1108,29
"γνώστης, -ου, ὁ",,gnōstēs,"expert, one who knows",1109,1
